team,member,sand16,water16,sprint16,hurdles16,relay17,sand17,sprint17,hurdles17,steeplechase,undrwtr17,snowrally,winBiathlon,icedash,speedskat,snowboard,sandmgl,relay,sandrally,underwater,msprint,hurdles,elimination,biathlon,overallcount
BALLS OF CHAOS,ANARCHY,,.7999205,,,.3709200322628021,,,,,,,.65985084,,,.72061968,,.4432024106727064,,,,,-.31548125,-.10061207,7
BALLS OF CHAOS,CLUTTER,,,.90450341,1.2491839,.2387305796146393,,,,,,-.2621555639198694,.67566538,,,,,-.1667403490391207,,,,,,,6
BALLS OF CHAOS,SNARL,-.067632437,,,,.596821129322052,,,,,,,-.15629892,,-1.0814176,,,-.2648484123546723,,-.39112228,,-.99983567,,,7
BALLS OF CHAOS,TUMULT,,,,,.1829571723937988,-.129903227310952,,,,,,-.72542018,.51518607,,,1.0253704,.4341613673848843,1.5020084,-.50327003,-1.1070489,,,,9
CHOCOLATIERS,BONBON,,,,,.3781123361794899,-.6639893219762432,,-1.2318068,.53683925,,-1.021027184729298,,,,,,-.2955495057052683,,,,,.068985283,.82423824,8
CHOCOLATIERS,CHOC,,,.73436463,-1.6575828,.1717875990552631,,.23233634,,,,,,-.20457585,,,,-.6386485676274886,,.23723808,,,,,7
CHOCOLATIERS,COCOA,,-2.3164768,,,.2424944639446035,,,,.36777157,,,,,,,,-.0776721375544452,-.42058173,1.6411427,.50970066,,,,7
CHOCOLATIERS,MOCHA,-.24125317,,,,.3992678396232388,,,,.49394146,-1.1307052,,,,,,,-.5969147675505468,,,,.20549574,,,6
JAWBREAKERS,CANDY,.3967064,,,,-.5659959911167401,,,,.50571734,,,,,,,,1.74921874115402,1.5917732,,,,,,5
JAWBREAKERS,MOUTHFUL,,,,-.62491542,,,,,,,,,,,,,,,,,,,,1
JAWBREAKERS,TIDBIT,,.22458507,,,,,,,,,,,,,,,,,,,,,,1
JAWBREAKERS,TONGUE TWISTER,,,.20545617,,,,,,,,,,,,,,,,,,,,,1
KOBALTS,AZURE,,.63211286,,,-1.788463711738586,,,,,,,,.7551074,,,,1.902417137691414,.42627972,-.28366137,,,,,6
KOBALTS,CERULEAN,-1.0972518,,,,-.2854693830013275,,,,,,,,,,,,-1.579004969191158,,,,,,,3
KOBALTS,DODGER,,,.33120885,-.93089247,,,,,,,,,,,,,,,,,,,,2
KOBALTS,ROYAL,,,,,,,,,,,,,,,,,,,,,,,,0
LIMERS,JELLIME,,,,,,,,,,,,,,,,,,,,,,,,0
LIMERS,LEMONLIME,,,-.20139799,,.3047530370884539,-.9676268200559468,.2745792,,.58394259,,-.6361698358145098,-.45589516,,,,,.78194811755883,,,,,,,8
LIMERS,SLIMELIME,,,,,.4461798320868751,,,,.47207198,-.75748378,,-.13131751,1.1549749,,,,-.9350308159835352,,-.77455002,,,,,7
LIMERS,SUBLIME,-1.5737033,,,.98145556,-.0464289404652926,,,.68361813,.50067049,,,-.29993287,-.52446932,,.85938442,,1.825817939422717,,,,,,,9
MELLOW YELLOW,YELLAH,,,,,-.1450551847051692,,,,,,,-.66309524,,,,,.7993886826221536,,-.1286425,,,,,4
MELLOW YELLOW,YELLEY,1.5111191,,,,-1.16043761849713,-1.144189288743745,,-2.0083311,.56291431,,-.3106814330707149,-.045044579,,,,,.4093634444835564,,,,,,.47289431,9
MELLOW YELLOW,YELLOW,,.58416402,,,-.873474344628833,,.93075293,,.49982935,-1.7623111,,.19273873,,-1.6189096,,.46419895,.8885279280960066,-.18023528,-.21159095,.5096997,-.28658926,,,13
MELLOW YELLOW,YELLUP,,,.2646341,1.23006,-.5080631082041775,,,,.72104722,,,-1.1216651,.31525281,,-1.9981549,,-.0686609377728157,,,,,-.1168509,,9
O'RANGERS,CLEMENTIN,,,,,1.310876963083565,.8428252005964811,,.45497519,.50739956,,,.11510821,,.35176536,,,-.5506721868636594,,,,,,,7
O'RANGERS,KINNOWIN,,,,.14002272,.574539308520599,.0595389791841846,,,.54272711,1.3478655,,.53479826,-.25788999,,,-.52954435,-.2936665493097846,1.0814325,-.68867314,,.73137009,,,12
O'RANGERS,MANDARIN,,.56020045,,,-.6280103948541986,,,,.56627882,,,-.36035335,,,.60241354,,.7862419173386997,,,,,.70332444,.37296548,8
O'RANGERS,TANGERIN,-.48351908,,,,-.3295509219305792,,-.49424264,,.55113852,,.0148244375885422,.20987359,,,,,.6640468632895782,,,,,,,7
OCEANICS,AQUA,,,,-.45280477,.5844771473359094,,,,.49394146,,-.7746642035475819,-1.0262557,,,,,-1.18453055253714,-2.4032283,,,,,-.67846251,8
OCEANICS,OCEAN,,,-1.2518198,,.9634934128143048,-.7026686642571606,,.94892991,.51328748,,,-.67227077,,.21735953,,-.59969014,.490698006931945,,-.68286121,,-1.2578564,,,11
OCEANICS,SEA,,,,,.4339053820939762,.9165394371383697,.82373774,,.48468903,-.21200784,,.066717155,.57516718,,,,-1.114050617260423,,,-.19980851,,-1.4496157,,10
OCEANICS,SHORE,-.60464895,,,,.8742992497874273,,,,.49730599,,,-1.3963721,,,-1.2888907,,.6352367379792314,,,,,,,6
PINKIES,PINKY DINK,,,,,.0933924572569526,,-.029570263,,.37281832,,1.259221267119508,.1567335,,,,,-.2747346092801546,,,-1.5955604,,-1.8340651,-.787081,9
PINKIES,PINKY ROSA,,,.02052022,,.506767968395182,.1492038898184965,,-.034666456,,,,.27026418,-.9509939,,,,.4093634444835567,-.72098452,-.33533269,,-2.3120611,,,10
PINKIES,PINKY TOE,,,,,-.2567803742712806,,,,.57973701,-.24071646,,-.68891513,,-1.4845037,,-1.0556422,.2548237531407809,,,,,,,7
PINKIES,PINKY WINKY,-.44313937,,,,.0363306285908225,,,,.39721122,,-.3439586781837724,-.53339374,,,.16042297,,-.2940648726635198,,-2.0517902,,,,,8
ROJO ROLLERS,ROJO CUATRO,,,,,-.3207612037658691,,,,,,,,,,,,-1.234553677940569,.10252792,,,,,,3
