"","team","teammean","member","overallscore","overallcount","sand16","water16","sprint16","hurdles16","relay17","sand17","sprint17","hurdles17","steeplechase","undrwtr17","snowrally","winBiathlon","icedash","speedskat","snowboard","sandmgl","relay","sandrally","underwater","msprint","hurdles","elimination","biathlon","rank2"
"1","BALLS OF CHAOS",16,"ANARCHY",31,7,NA,0.7999205,NA,NA,0.194733016937971,NA,NA,NA,NA,NA,NA,0.346421691,NA,NA,0.72061968,NA,0.232681265603171,NA,NA,NA,NA,-0.31548125,-0.10061207,20
"2","BALLS OF CHAOS",16,"CLUTTER",43,6,NA,NA,0.90450341,1.2491839,0.125333554297686,NA,NA,NA,NA,NA,-0.262155563919869,0.3547243245,NA,NA,NA,NA,-0.0875386832455384,NA,NA,NA,NA,NA,NA,20
"3","BALLS OF CHAOS",16,"SNARL",-30,7,-0.067632437,NA,NA,NA,0.313331092894077,NA,NA,NA,NA,NA,NA,-0.082056933,NA,-1.0814176,NA,NA,-0.139045416486203,NA,-0.39112228,NA,-0.99983567,NA,NA,20
"4","BALLS OF CHAOS",16,"TUMULT",24,9,NA,NA,NA,NA,0.0960525155067444,-0.129903227310952,NA,NA,NA,NA,NA,-0.3808455945,0.51518607,NA,NA,1.0253704,0.227934717877064,1.5020084,-0.50327003,-1.1070489,NA,NA,NA,20
"5","CHOCOLATIERS",-4,"BONBON",-10,8,NA,NA,NA,NA,0.198508976494232,-0.663989321976243,NA,-1.2318068,0.53683925,NA,-1.0210271847293,NA,NA,NA,NA,NA,-0.155163490495266,NA,NA,NA,NA,0.068985283,0.82423824,12
"6","CHOCOLATIERS",-4,"CHOC",-7,7,NA,NA,0.73436463,-1.6575828,0.0901884895040131,NA,0.23233634,NA,NA,NA,NA,NA,-0.20457585,NA,NA,NA,-0.335290498004432,NA,0.23723808,NA,NA,NA,NA,12
"7","CHOCOLATIERS",-4,"COCOA",8,7,NA,-2.3164768,NA,NA,0.127309593570917,NA,NA,NA,0.36777157,NA,NA,NA,NA,NA,NA,NA,-0.0407778722160837,-0.42058173,1.6411427,0.50970066,NA,NA,NA,12
"8","CHOCOLATIERS",-4,"MOCHA",-9,6,-0.24125317,NA,NA,NA,0.2096156158022,NA,NA,NA,0.49394146,-1.1307052,NA,NA,NA,NA,NA,NA,-0.313380252964037,NA,NA,NA,0.20549574,NA,NA,12
"9","JAWBREAKERS",14,"CANDY",67,5,0.3967064,NA,NA,NA,-0.297147895336289,NA,NA,NA,0.50571734,NA,NA,NA,NA,NA,NA,NA,0.918339839105861,1.5917732,NA,NA,NA,NA,NA,18
"10","JAWBREAKERS",14,"MOUTHFUL",-62,1,NA,NA,NA,-0.62491542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"11","JAWBREAKERS",14,"TIDBIT",22,1,NA,0.22458507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"12","JAWBREAKERS",14,"TONGUE TWISTER",21,1,NA,NA,0.20545617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"13","KOBALTS",-22,"AZURE",32,6,NA,0.63211286,NA,NA,-0.938943448662758,NA,NA,NA,NA,NA,NA,NA,0.7551074,NA,NA,NA,0.998768997287992,0.42627972,-0.28366137,NA,NA,NA,NA,2
"14","KOBALTS",-22,"CERULEAN",-68,3,-1.0972518,NA,NA,NA,-0.149871426075697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.828977608825358,NA,NA,NA,NA,NA,NA,2
"15","KOBALTS",-22,"DODGER",-28,2,NA,NA,0.33120885,-0.93089247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"16","KOBALTS",-22,"ROYAL",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"17","LIMERS",-2,"JELLIME",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"18","LIMERS",-2,"LEMONLIME",-2,8,NA,NA,-0.20139799,NA,0.159995344471438,-0.967626820055947,0.2745792,NA,0.58394259,NA,-0.63616983581451,-0.239344959,NA,NA,NA,NA,0.410522761718386,NA,NA,NA,NA,NA,NA,13
"19","LIMERS",-2,"SLIMELIME",3,7,NA,NA,NA,NA,0.234244411845609,NA,NA,NA,0.47207198,-0.75748378,NA,-0.06894169275,1.1549749,NA,NA,NA,-0.490891178391356,NA,-0.77455002,NA,NA,NA,NA,13
"20","LIMERS",-2,"SUBLIME",29,9,-1.5737033,NA,NA,0.98145556,-0.0243751937442786,NA,NA,0.68361813,0.50067049,NA,NA,-0.15746475675,-0.52446932,NA,0.85938442,NA,0.958554418196926,NA,NA,NA,NA,NA,NA,13
"21","MELLOW YELLOW",3,"YELLAH",-2,4,NA,NA,NA,NA,-0.0761539719702138,NA,NA,NA,NA,NA,NA,-0.348125001,NA,NA,NA,NA,0.419679058376631,NA,-0.1286425,NA,NA,NA,NA,15
"22","MELLOW YELLOW",3,"YELLEY",-2,9,1.5111191,NA,NA,NA,-0.609229749710993,-1.14418928874375,NA,-2.0083311,0.56291431,NA,-0.310681433070715,-0.023648403975,NA,NA,NA,NA,0.214915808353867,NA,NA,NA,NA,NA,0.47289431,15
"23","MELLOW YELLOW",3,"YELLOW",6,13,NA,0.58416402,NA,NA,-0.458574030930137,NA,0.93075293,NA,0.49982935,-1.7623111,NA,0.10118783325,NA,-1.6189096,NA,0.46419895,0.466477162250403,-0.18023528,-0.21159095,0.5096997,-0.28658926,NA,NA,15
"24","MELLOW YELLOW",3,"YELLUP",5,9,NA,NA,0.2646341,1.23006,-0.266733131807193,NA,NA,NA,0.72104722,NA,NA,-0.5888741775,0.31525281,NA,-1.9981549,NA,-0.0360469923307283,NA,NA,NA,NA,-0.1168509,NA,15
"25","O'RANGERS",29,"CLEMENTIN",41,7,NA,NA,NA,NA,0.688210405618872,0.842825200596481,NA,0.45497519,0.50739956,NA,NA,0.06043181025,NA,0.35176536,NA,NA,-0.289102898103421,NA,NA,NA,NA,NA,NA,24
"26","O'RANGERS",29,"KINNOWIN",34,12,NA,NA,NA,0.14002272,0.301633136973314,0.0595389791841846,NA,NA,0.54272711,1.3478655,NA,0.2807690865,-0.25788999,NA,NA,-0.52954435,-0.154174938387637,1.0814325,-0.68867314,NA,0.73137009,NA,NA,24
"27","O'RANGERS",29,"MANDARIN",37,8,NA,0.56020045,NA,NA,-0.329705457298454,NA,NA,NA,0.56627882,NA,NA,-0.18918550875,NA,NA,0.60241354,NA,0.412777006602817,NA,NA,NA,NA,0.70332444,0.37296548,24
"28","O'RANGERS",29,"TANGERIN",2,7,-0.48351908,NA,NA,NA,-0.173014234013554,NA,-0.49424264,NA,0.55113852,NA,0.0148244375885422,0.11018363475,NA,NA,NA,NA,0.348624603227029,NA,NA,NA,NA,NA,NA,24
"29","OCEANICS",-17,"AQUA",-50,8,NA,NA,NA,-0.45280477,0.306850502351352,NA,NA,NA,0.49394146,NA,-0.774664203547582,-0.5387842425,NA,NA,NA,NA,-0.621878540081998,-2.4032283,NA,NA,NA,NA,-0.67846251,4
