TEAM,MEMBER,ORDER,TYPE,SPRINT17,HURDLES17,RELAY17,STEEPLECHASE,UNDRWTR17,SAND17
CHOCOLATIERS,CHOCOLATIERS,,2017.1,6.62,10.66,11.63,46.24,14.12,0.00100463
CHOCOLATIERS,COCOA,1,2017.1,,,2.47,16.25,,
CHOCOLATIERS,CHOC,2,2017.1,6.62,,2.81,DNF,,
CHOCOLATIERS,MOCHA,3,2017.1,,,3.06,14.75,14.12,
CHOCOLATIERS,BONBON,4,2017.1,,10.66,3.29,14.24,,0.00100463
TEAM GALACTIC,TEAM GALACTIC,,2017.1,6.71,8.96,12.78,42.45,13.4,0.000993056
TEAM GALACTIC,COSMO,1,2017.1,,,2.68,15.29,,
TEAM GALACTIC,STARRY,2,2017.1,,8.96,2.95,13.83,,0.000993056
TEAM GALACTIC,ASTRON,3,2017.1,6.71,,3.23,13.74,,
TEAM GALACTIC,PULSAR,4,2017.1,,,3.92,14.88,13.4,
JAWBREAKERS,JAWBREAKERS,,2017.1,7.18,10.79,11.3,42.67,13.83,0.001021991
JAWBREAKERS,CANDY,1,2017.1,,,2.59,14.61,,
JAWBREAKERS,SWEET,2,2017.1,,10.79,2.83,14.2,,0.001021991
JAWBREAKERS,SUGAR,3,2017.1,7.18,,2.71,13.31,13.83,
JAWBREAKERS,TAFFY,4,2017.1,,,3.17,14.16,,
JUNGLE JUMPERS,JUNGLE JUMPERS,,2017.1,7.93,9.86,11.97,45.3,13.69,DNS
JUNGLE JUMPERS,HOP,1,2017.1,7.93,,2.61,15.01,13.69,
JUNGLE JUMPERS,LEAP,2,2017.1,,,2.85,14.58,,
JUNGLE JUMPERS,JUMP,3,2017.1,,9.86,3.19,15.27,,
JUNGLE JUMPERS,SKIP,4,2017.1,,,3.32,14.71,,
LIMERS,LIMERS,,2017.1,6.54,9.25,11.3,43.36,13.99,0.001024306
LIMERS,SUBLIME,1,2017.1,,9.25,2.48,14.67,,
LIMERS,SLIMELIME,2,2017.1,,,2.75,15.01,13.99,
LIMERS,GOOLIME,3,2017.1,,,3.15,15.92,,
LIMERS,LEMONLIME,4,2017.1,6.54,,2.92,13.68,,0.001024306
MELLOW YELLOW,MELLOW YELLOW,,2017.1,6.05,11.26,11.93,41.66,14.34,0.00102662
MELLOW YELLOW,YELLAH,1,2017.1,,,2.63,DNF,,
MELLOW YELLOW,YELLOW,2,2017.1,6.05,,2.79,14.68,14.34,
MELLOW YELLOW,YELLEY,3,2017.1,,11.26,3.11,13.93,,0.00102662
MELLOW YELLOW,YELLUP,4,2017.1,,,3.4,12.05,,
MIDNIGHT WISPS,MIDNIGHT WISPS,,2017.1,7.18,10.32,11.53,42.03,13.5,0.001006944
MIDNIGHT WISPS,WESPY,1,2017.1,,,2.47,15.27,,
MIDNIGHT WISPS,WISPY,2,2017.1,7.18,,2.7,13.82,,0.001006944
MIDNIGHT WISPS,WOSPY,3,2017.1,,,3.06,14.79,13.5,
MIDNIGHT WISPS,WUSPY,4,2017.1,,10.32,3.3,13.42,,
TEAM MOMO,TEAM MOMO,,2017.1,6.31,9.71,11.49,43.42,13.85,0.00102662
TEAM MOMO,MO,1,2017.1,,,2.57,14.82,13.85,
TEAM MOMO,MOMO,2,2017.1,6.31,,2.85,14.57,,0.00102662
TEAM MOMO,MOMOMO,3,2017.1,,9.71,2.86,13.35,,
TEAM MOMO,MOMOMOMO,4,2017.1,,,,,,
TEAM MOMO,MIMO,5,2017.1,,,3.21,14.5,,
OCEANICS,OCEANICS,,2017.1,6.15,9.18,11.16,43.98,13.8,0.001011574
OCEANICS,AQUA,1,2017.1,,,2.54,14.75,,
OCEANICS,SEA,2,2017.1,6.15,,2.71,14.86,13.8,
OCEANICS,SHORE,3,2017.1,,,2.82,14.71,,
OCEANICS,OCEAN,4,2017.1,,9.18,3.09,14.52,,0.001011574
O'RANGERS,O'RANGERS,,2017.1,7.08,9.74,12.42,42.13,13.31,0.001005787
O'RANGERS,CLEMENTIN,1,2017.1,,9.74,2.57,14.59,,0.001005787
O'RANGERS,KINNOWIN,2,2017.1,,,2.8,14.17,13.31,
O'RANGERS,MANDARIN,3,2017.1,,,3.5,13.89,,
O'RANGERS,TANGERIN,4,2017.1,7.08,,3.55,14.07,,
