TEAM,MEMBER,ORDER,TYPE,ICEDASH,SNOWRALLY,SPEEDSKAT,SNOWBOARD,BIATHLON,SANDMGL
BALLS OF CHAOS,BALLS OF CHAOS,,2018.1,5.79E-05,0.000608912,0.000371759,0.000573958,0.00031794,6.90E-05
BALLS OF CHAOS,ANARCHY,1,2018.1,,,,0.000573958,8.59E-05,
BALLS OF CHAOS,TUMULT,2,2018.1,5.79E-05,,,,7.04E-05,6.90E-05
BALLS OF CHAOS,CLUTTER,3,2018.1,,0.000608912,,,8.17E-05,
BALLS OF CHAOS,SNARL,4,2018.1,,,0.000371759,,8.00E-05,
CRAZY CAT'S EYES,CRAZY CAT'S EYES,,2018.1,5.90E-05,0.000560995,0.000357639,0.000611921,0.000295486,7.88E-05
CRAZY CAT'S EYES,GREEN EYE,1,2018.1,5.90E-05,,,0.000611921,8.14E-05,
CRAZY CAT'S EYES,YELLOW EYE,2,2018.1,,,,,6.20E-05,7.88E-05
CRAZY CAT'S EYES,BLUE EYE,3,2018.1,,,,,7.89E-05,
CRAZY CAT'S EYES,RED EYE,4,2018.1,,0.000560995,0.000357639,,7.00E-05,
TEAM GALACTIC,TEAM GALACTIC,,2018.1,0.000059375,0.000552778,0.000363657,0.000578704,0.000326389,7.52E-05
TEAM GALACTIC,COSMO,1,2018.1,,,0.000363657,,9.47E-05,7.52E-05
TEAM GALACTIC,STARRY,2,2018.1,,0.000552778,,0.000578704,6.34E-05,
TEAM GALACTIC,ASTRON,3,2018.1,,,,,8.52E-05,
TEAM GALACTIC,PULSAR,4,2018.1,0.000059375,,,,8.31E-05,
HAZERS,HAZERS,,2018.1,5.71E-05,0.000560532,0.000351157,0.000634491,0.000318519,7.38E-05
HAZERS,HAZY,1,2018.1,5.71E-05,0.000560532,,,9.00E-05,
HAZERS,SMOGGY,2,2018.1,,,,,6.69E-05,7.38E-05
HAZERS,FOGGY,3,2018.1,,,,,8.29E-05,
HAZERS,MISTY,4,2018.1,,,0.000351157,0.000634491,7.87E-05,
LIMERS,LIMERS,,2018.1,5.88E-05,0.000579282,0.000367361,0.000584954,0.000323727,7.41E-05
LIMERS,SUBLIME,1,2018.1,5.88E-05,,,0.000584954,8.96E-05,
LIMERS,SLIMELIME,2,2018.1,,,,,6.71E-05,
LIMERS,GOOLIME,3,2018.1,,,0.000367361,,8.52E-05,7.41E-05
LIMERS,LEMONLIME,4,2018.1,,0.000579282,,,8.18E-05,
MELLOW YELLOW,MELLOW YELLOW,,2018.1,5.83E-05,0.000545255,0.000375926,0.000678241,0.000325347,7.25E-05
MELLOW YELLOW,YELLAH,1,2018.1,,,,,9.10E-05,
MELLOW YELLOW,YELLOW,2,2018.1,,,0.000375926,,6.53E-05,7.25E-05
MELLOW YELLOW,YELLEY,3,2018.1,,0.000545255,,,8.33E-05,
MELLOW YELLOW,YELLUP,4,2018.1,5.83E-05,,,0.000678241,8.58E-05,
MIDNIGHT WISPS,MIDNIGHT WISPS,,2018.1,5.87E-05,0.000519444,0.000364583,0.000604745,0.000302778,7.05E-05
MIDNIGHT WISPS,WESPY,1,2018.1,5.87E-05,,,0.000604745,8.54E-05,
MIDNIGHT WISPS,WISPY,2,2018.1,,,,,6.44E-05,7.05E-05
MIDNIGHT WISPS,WOSPY,3,2018.1,,,0.000364583,,8.03E-05,
MIDNIGHT WISPS,WUSPY,4,2018.1,,0.000519444,,,7.27E-05,
MINTY MANIACS,MINTY MANIACS,,2018.1,6.08E-05,DNF,0.000357407,0.000618056,0.000329745,7.62E-05
MINTY MANIACS,MINTY DRIZZEL,1,2018.1,6.08E-05,,,,9.17E-05,
MINTY MANIACS,MINTY FLAV,2,2018.1,,,0.000357407,,6.46E-05,
MINTY MANIACS,MINTY FRESH,3,2018.1,,,,0.000618056,8.73E-05,7.62E-05
MINTY MANIACS,MINTY SWIRL,4,2018.1,,DNF,,,8.62E-05,
TEAM MOMO,TEAM MOMO,,2018.1,5.95E-05,0.000534491,0.000375347,0.000623843,0.000314352,0.000078125
TEAM MOMO,MO,1,2018.1,5.95E-05,,,,8.29E-05,0.000078125
TEAM MOMO,MOMO,2,2018.1,,0.000534491,,,8.63E-05,
TEAM MOMO,MOMOMO,3,2018.1,,,,,,
TEAM MOMO,MOMOMOMO,4,2018.1,,,,,,
TEAM MOMO,MIMO,5,2018.1,,,0.000375347,,,
OCEANICS,OCEANICS,,2018.1,5.71E-05,0.000541088,0.00036169,0.000654282,0.000327778,7.57E-05
OCEANICS,AQUA,1,2018.1,,0.000541088,,,9.24E-05,
OCEANICS,SEA,2,2018.1,5.71E-05,,,,6.60E-05,
OCEANICS,SHORE,3,2018.1,,,,0.000654282,8.63E-05,
OCEANICS,OCEAN,4,2018.1,,,0.00036169,,8.31E-05,7.57E-05
O'RANGERS,O'RANGERS,,2018.1,5.73E-05,0.000515741,0.000360648,0.000564468,0.000313194,7.47E-05
O'RANGERS,CLEMENTIN,1,2018.1,,,0.000360648,,8.80E-05,
O'RANGERS,KINNOWIN,2,2018.1,5.73E-05,,,,6.34E-05,7.47E-05
O'RANGERS,MANDARIN,3,2018.1,,,,0.000564468,8.40E-05,
O'RANGERS,TANGERIN,4,2018.1,,0.000515741,,,7.78E-05,
PINKIES,PINKIES,,2018.1,5.87E-05,0.000506481,0.000374884,0.000605324,0.000321875,7.62E-05
PINKIES,PINKY WINKY,1,2018.1,,,,0.000605324,9.05E-05,
PINKIES,PINKY DINK,2,2018.1,,0.000506481,,,6.55E-05,
PINKIES,PINKY ROSA,3,2018.1,5.87E-05,,,,8.26E-05,
PINKIES,PINKY TOE,4,2018.1,,,0.000374884,,8.32E-05,7.62E-05
RASPBERRY RACERS,RASPBERRY RACERS,,2018.1,5.97E-05,0.000561111,0.000357292,0.000573843,0.000294792,7.28E-05
RASPBERRY RACERS,RAZZY,1,2018.1,5.97E-05,,,,8.52E-05,
RASPBERRY RACERS,REZZY,2,2018.1,,,,,6.23E-05,
RASPBERRY RACERS,RIZZY,3,2018.1,,0.000561111,,,8.19E-05,7.28E-05
RASPBERRY RACERS,ROZZY,4,2018.1,,,,0.000573843,6.54E-05,
RASPBERRY RACERS,RUZZY,5,2018.1,,,0.000357292,,,
SAVAGE SPEEDERS,SAVAGE SPEEDERS,,2018.1,5.76E-05,0.000476389,0.000353819,0.000598843,0.000312963,7.23E-05
SAVAGE SPEEDERS,SPEEDY,1,2018.1,,,,,8.43E-05,
SAVAGE SPEEDERS,RAPIDLY,2,2018.1,,,0.000353819,,6.37E-05,
SAVAGE SPEEDERS,SWIFTY,3,2018.1,5.76E-05,,,0.000598843,8.22E-05,
SAVAGE SPEEDERS,WHIZZY,4,2018.1,,0.000476389,,,8.29E-05,7.23E-05
SNOWBALLS,SNOWBALLS,,2018.1,5.80E-05,0.000543519,0.000356134,0.000608333,0.000321412,7.30E-05
SNOWBALLS,SNOW,1,2018.1,5.80E-05,,,,8.94E-05,7.30E-05
SNOWBALLS,SNOWY,2,2018.1,,0.000543519,,,6.74E-05,
SNOWBALLS,SNOWFLAKE,3,2018.1,,,0.000356134,,8.40E-05,
SNOWBALLS,SNOWSTORM,4,2018.1,,,,0.000608333,8.07E-05,
THUNDERBOLTS,THUNDERBOLTS,,2018.1,6.04E-05,0.000518519,0.000364699,0.000558796,0.000314005,7.33E-05
THUNDERBOLTS,BOLTA,1,2018.1,,,0.000364699,,9.27E-05,
THUNDERBOLTS,BOLTO,2,2018.1,,,,0.000558796,6.62E-05,
THUNDERBOLTS,BOLTU,3,2018.1,6.04E-05,,,,8.22E-05,
THUNDERBOLTS,BOLTY,4,2018.1,,0.000518519,,,0.000071875,7.33E-05
BLACK JACKS,BLACK JACKS,,2018.1,,,,,,
BLACK JACKS,CLUB,1,2018.1,,,,,,
BLACK JACKS,SPADE,2,2018.1,,,,,,
BLACK JACKS,HEART,3,2018.1,,,,,,
BLACK JACKS,DIAMOND,4,2018.1,,,,,,
CHOCOLATIERS,CHOCOLATIERS,,2018.1,,,,,,
CHOCOLATIERS,COCOA,1,2018.1,,,,,,
CHOCOLATIERS,CHOC,2,2018.1,,,,,,
CHOCOLATIERS,MOCHA,3,2018.1,,,,,,
CHOCOLATIERS,BONBON,4,2018.1,,,,,,
GLIDING GLACIERS,GLIDING GLACIERS,,2018.1,,,,,,
GLIDING GLACIERS,GLIDE,1,2018.1,,,,,,
GLIDING GLACIERS,GLIDY,2,2018.1,,,,,,
GLIDING GLACIERS,GLACIE,3,2018.1,,,,,,
GLIDING GLACIERS,GLACIER,4,2018.1,,,,,,
GOLDEN ORBS,GOLDEN ORBS,,2018.1,,,,,,
GOLDEN ORBS,ORBY,1,2018.1,,,,,,
GOLDEN ORBS,GLORBY,2,2018.1,,,,,,
GOLDEN ORBS,GORBY,3,2018.1,,,,,,
GOLDEN ORBS,GOLDBY,4,2018.1,,,,,,
JAWBREAKERS,JAWBREAKERS,,2018.1,,,,,,
JAWBREAKERS,CANDY,1,2018.1,,,,,,
JAWBREAKERS,TAFFY,2,2018.1,,,,,,
JAWBREAKERS,SUGAR,3,2018.1,,,,,,
JAWBREAKERS,SWEET,4,2018.1,,,,,,
JUNGLE JUMPERS,JUNGLE JUMPERS,,2018.1,,,,,,
JUNGLE JUMPERS,HOP,1,2018.1,,,,,,
JUNGLE JUMPERS,LEAP,2,2018.1,,,,,,
JUNGLE JUMPERS,JUMP,3,2018.1,,,,,,
JUNGLE JUMPERS,SKIP,4,2018.1,,,,,,
KOBALTS,KOBALTS,,2018.1,,,,,,
KOBALTS,AZURE,1,2018.1,,,,,,
KOBALTS,GNOME,2,2018.1,,,,,,
