team,year,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16
BALLS OF CHAOS,2017,,,,,,,,,,,,,,,,
BLACK JACKS,2017,,,,,,,,,,,,,,,,
BUMBLEBEES,2017,,,,,,,,,,,,,,,,
CHOCOLATIERS,2017,10,25,7,12,4,6,9,2,1,20,2,12,,,,
CRAZY CAT'S EYES,2017,,,,,,,,,,,,,,,,
TEAM GALACTIC,2017,0,1,8,6,25,1,12,9,11,8,9,25,,,,
GLIDING GLACIERS,2017,,,,,,,,,,,,,,,,
GOLDEN ORBS,2017,,,,,,,,,,,,,,,,
GREEN DUCKS,2017,,,,,,,,,,,,,,,,
HAZERS,2017,,,,,,,,,,,,,,,,
HORNETS,2017,,,,,,,,,,,,,,,,
INDIGO STARS,2017,,,,,,,,,,,,,,,,
JAWBREAKERS,2017,7,8,3,4,3,8,7,12,10,8,8,5,,,,
JUNGLE JUMPERS,2017,1,5,1,2,6,3,0,6,2,25,15,0,,,,
KOBALTS,2017,,,,,,,,,,,,,,,,
LIMERS,2017,5,7,20,11,12,15,10,3,8,2,5,3,,,,
MELLOW YELLOW,2017,6,12,11,25,2,5,6,25,20,5,1,1,,,,
MINTY MANIACS,2017,,,,,,,,,,,,,,,,
MIDNIGHT WISPS,2017,3,20,10,8,5,7,5,7,15,4,25,9,,,,
TEAM MOMO,2017,11,0,0,9,10,20,20,15,7,2,10,2,,,,
OCEANICS,2017,20,2,6,15,11,11,4,10,5,0,7,8,,,,
O'RANGERS,2017,9,11,9,5,15,2,25,20,12,8,20,20,,,,
PINKIES,2017,15,9,12,10,8,12,15,5,0,10,11,7,,,,
TEAM PLASMA,2017,,,,,,,,,,,,,,,,
TEAM PRIMARY,2017,25,4,15,0,1,-3,2,4,4,9,4,6,,,,
QUICKSILVERS,2017,2,3,2,7,7,4,1,0,9,12,1,10,,,,
RASPBERRY RACERS,2017,,,,,,,,,,,,,,,,
ROJO ROLLERS,2017,,,,,,,,,,,,,,,,
SAVAGE SPEEDERS,2017,12,10,5,20,20,25,11,11,25,3,4,4,,,,
SHINING SWARM,2017,4,7,25,1,9,10,8,8,6,11,12,11,,,,
SNOWBALLS,2017,,,,,,,,,,,,,,,,
THUNDERBOLTS,2017,8,15,5,3,0,9,3,1,3,15,6,15,,,,
TURTLE SLIDERS,2017,,,,,,,,,,,,,,,,
BALLS OF CHAOS,2016,0,-3,10,9,9,9,11,15,20,12,0,2,,,,
BLACK JACKS,2016,,,,,,,,,,,,,,,,
BUMBLEBEES,2016,,,,,,,,,,,,,,,,
CHOCOLATIERS,2016,2,11,7,5,1,5,1,20,11,7,11,4,,,,
CRAZY CAT'S EYES,2016,,,,,,,,,,,,,,,,
TEAM GALACTIC,2016,6,9,9,15,10,10,12,3,9,5,9,6,,,,
GLIDING GLACIERS,2016,,,,,,,,,,,,,,,,
GOLDEN ORBS,2016,,,,,,,,,,,,,,,,
GREEN DUCKS,2016,,,,,,,,,,,,,,,,
HAZERS,2016,,,,,,,,,,,,,,,,
HORNETS,2016,,,,,,,,,,,,,,,,
INDIGO STARS,2016,,,,,,,,,,,,,,,,
JAWBREAKERS,2016,5,20,20,12,4,7,8,5,10,1,1,5,,,,
JUNGLE JUMPERS,2016,,,,,,,,,,,,,,,,
KOBALTS,2016,10,3,4,1,11,20,3,1,2,20,2,1,,,,
LIMERS,2016,3,10,1,0,7,3,9,9,3,0,15,11,,,,
MELLOW YELLOW,2016,20,6,8,25,0,15,2,0,6,9,25,20,,,,
MINTY MANIACS,2016,,,,,,,,,,,,,,,,
MIDNIGHT WISPS,2016,,,,,,,,,,,,,,,,
TEAM MOMO,2016,15,5,12,11,15,6,15,6,0,25,10,12,,,,
OCEANICS,2016,9,7,2,2,3,2,0,7,25,4,20,8,,,,
O'RANGERS,2016,7,2,11,3,25,8,6,12,12,11,12,9,,,,
PINKIES,2016,12,10,3,4,6,4,10,8,8,15,7,-3,,,,
TEAM PLASMA,2016,,,,,,,,,,,,,,,,
TEAM PRIMARY,2016,1,4,15,7,5,12,20,2,4,6,4,7,,,,
QUICKSILVERS,2016,,,,,,,,,,,,,,,,
RASPBERRY RACERS,2016,,,,,,,,,,,,,,,,
ROJO ROLLERS,2016,25,5,0,20,12,-3,25,4,5,2,8,3,,,,
SAVAGE SPEEDERS,2016,11,25,6,6,8,25,5,25,1,3,5,25,,,,
SHINING SWARM,2016,,,,,,,,,,,,,,,,
SNOWBALLS,2016,8,15,5,8,2,1,4,11,7,10,6,10,,,,
THUNDERBOLTS,2016,5,15,25,10,20,11,8,10,15,8,3,15,,,,
TURTLE SLIDERS,2016,,,,,,,,,,,,,,,,
